GeneID	GeneName	seed	spikelet	stem
SORBI_3001G055400	SORBI_3001G055400	0.8		
SORBI_3001G055600	SORBI_3001G055600	2	6	5
SORBI_3001G055700	SORBI_3001G055700		0.9	
SORBI_3001G055900	SORBI_3001G055900	13	17	22
SORBI_3001G056100	SORBI_3001G056100	13	68	35
SORBI_3001G056200	SORBI_3001G056200	41	48	66
SORBI_3001G056300	SORBI_3001G056300	8	9	31
SORBI_3001G056500	SORBI_3001G056500		3	3
SORBI_3001G056601	SORBI_3001G056601	25	31	44
SORBI_3001G056700	SORBI_3001G056700	24	27	27
SORBI_3001G056800	SORBI_3001G056800	18	42	50
SORBI_3001G056900	SORBI_3001G056900	6	11	15
SORBI_3001G057100	SORBI_3001G057100	21	44	54
SORBI_3001G057200	SORBI_3001G057200	12	11	23
SORBI_3001G057300	SORBI_3001G057300	68	135	202
SORBI_3001G057400	SORBI_3001G057400	1	13	6
SORBI_3001G057500	SORBI_3001G057500	2	2	
